p1,p2,response
-28.215233,-35.3208,Oxidoreductases
13.513745,4.2381754,Oxidoreductases
-18.360855,54.343105,Oxidoreductases
27.672672,69.48701,Oxidoreductases
-40.98959,9.229527,Oxidoreductases
-49.646465,-42.816345,Oxidoreductases
20.861551,67.56177,Oxidoreductases
-61.793755,-16.200506,Oxidoreductases
-25.630005,17.514624,Oxidoreductases
-35.10089,-63.881268,Oxidoreductases
-14.279603,28.161545,Oxidoreductases
-40.179325,48.35936,Oxidoreductases
53.52326,-55.350636,Oxidoreductases
26.205751,-52.423508,Oxidoreductases
-6.6599007,31.586311,Oxidoreductases
-61.313194,28.353977,Oxidoreductases
0.69137335,11.671453,Oxidoreductases
-69.53534,22.699099,Oxidoreductases
-78.35048,23.689222,Oxidoreductases
-50.37006,0.37184775,Oxidoreductases
-30.941195,56.42528,Oxidoreductases
-41.110886,-51.10732,Oxidoreductases
-62.013626,45.13142,Oxidoreductases
34.236744,4.424321,Oxidoreductases
-9.04468,-8.682811,Oxidoreductases
-43.73231,41.22955,Oxidoreductases
-75.094666,18.624819,Oxidoreductases
-47.40402,-17.893114,Oxidoreductases
-9.289321,56.276955,Oxidoreductases
20.167177,39.23967,Oxidoreductases
-43.770767,-12.651983,Oxidoreductases
-7.2242527,-0.9824592,Oxidoreductases
-62.339294,15.441247,Oxidoreductases
-56.264164,56.70787,Oxidoreductases
-52.082764,28.45629,Oxidoreductases
-68.68911,-31.680677,Oxidoreductases
-87.778564,41.871037,Oxidoreductases
-8.267409,82.4547,Oxidoreductases
-68.630295,-31.609016,Oxidoreductases
-41.131767,15.400779,Oxidoreductases
-35.51177,-33.08146,Oxidoreductases
-4.241631,-19.004093,Oxidoreductases
-52.280163,-23.406258,Oxidoreductases
-8.274738,82.454544,Oxidoreductases
-34.196045,-8.5107355,Oxidoreductases
-8.280276,82.4527,Oxidoreductases
-77.76198,41.501255,Oxidoreductases
-69.27401,48.563488,Oxidoreductases
-69.275536,48.56468,Oxidoreductases
3.9599802,51.30578,Oxidoreductases
4.011583,-9.074279,Oxidoreductases
-8.268588,82.45459,Oxidoreductases
-37.83183,-12.577675,Oxidoreductases
13.955239,22.696209,Oxidoreductases
-26.535555,-49.83582,Oxidoreductases
-36.624607,-7.7826576,Oxidoreductases
-18.5487,-6.5269604,Oxidoreductases
-27.4562,-9.245984,Oxidoreductases
37.418564,-38.04546,Oxidoreductases
21.787678,-2.7828887,Oxidoreductases
-23.477562,-0.9854998,Oxidoreductases
14.908187,4.288659,Oxidoreductases
15.064797,4.300781,Oxidoreductases
25.027542,-6.2390523,Oxidoreductases
40.47239,-5.1595073,Oxidoreductases
46.698925,11.749623,Oxidoreductases
-14.350697,49.66267,Oxidoreductases
-37.305614,26.894434,Oxidoreductases
13.923821,11.197663,Oxidoreductases
-37.334625,26.904768,Oxidoreductases
18.135406,4.7089496,Oxidoreductases
30.7051,49.439487,Oxidoreductases
-63.524273,7.661038,Oxidoreductases
-17.783083,104.4877,Oxidoreductases
0.90077865,-14.076954,Oxidoreductases
16.691574,-30.462603,Oxidoreductases
46.72423,-69.87909,Oxidoreductases
70.28265,12.593516,Oxidoreductases
-17.953138,17.71815,Oxidoreductases
14.227725,-4.1414447,Oxidoreductases
5.7058434,-47.18612,Oxidoreductases
62.668297,17.725786,Oxidoreductases
-22.17154,-46.613754,Oxidoreductases
9.435917,17.249813,Oxidoreductases
57.685196,-24.561249,Oxidoreductases
3.4916763,23.838446,Oxidoreductases
72.05845,-5.040093,Oxidoreductases
-33.432045,-26.83424,Oxidoreductases
46.481853,-26.504074,Oxidoreductases
3.0958915,23.093569,Oxidoreductases
5.0698314,-8.039942,Oxidoreductases
45.396084,-42.932945,Oxidoreductases
-23.491846,-24.388422,Oxidoreductases
68.32326,-29.001469,Oxidoreductases
-27.73847,12.973946,Oxidoreductases
-31.386278,36.849564,Oxidoreductases
21.63865,-2.7329984,Oxidoreductases
9.655957,-39.976818,Oxidoreductases
14.422877,1.5101156,Oxidoreductases
-20.35264,6.0624356,Oxidoreductases
-2.9544134,26.805098,Oxidoreductases
8.341289,42.139072,Oxidoreductases
12.356504,66.000465,Oxidoreductases
3.2952356,13.527265,Oxidoreductases
64.23861,34.438038,Oxidoreductases
-13.043218,3.278248,Oxidoreductases
-1.8886198,-7.5546646,Oxidoreductases
45.979694,28.854662,Oxidoreductases
-16.641071,21.920898,Oxidoreductases
-28.701313,-55.310493,Oxidoreductases
-34.883694,43.20569,Oxidoreductases
-44.322895,41.032627,Oxidoreductases
-28.71201,-55.245445,Oxidoreductases
-28.922699,-54.60983,Oxidoreductases
-72.65989,-36.407143,Oxidoreductases
-75.74416,31.268288,Oxidoreductases
-56.234333,-32.325676,Oxidoreductases
-67.65158,38.561535,Oxidoreductases
-75.7425,31.26461,Oxidoreductases
-14.931351,5.1761594,Oxidoreductases
